Query;Execution Time (ms);Common count
319;97.35989570617676;12600
320;80.80697059631348;12600
321;90.70897102355957;12600
322;95.12495994567871;12600
323;109.61699485778809;12600
324;92.95821189880371;12600
325;30.446290969848633;12600
326;94.8798656463623;12600
327;133.09907913208008;12600
328;67.21806526184082;12600
329;93.29485893249512;12600
330;88.21296691894531;12600
331;95.67880630493164;12600
332;98.37698936462402;12600
333;33.399105072021484;12600
334;80.48415184020996;12600
335;88.43326568603516;12600
336;97.04208374023438;12600
337;101.287841796875;12600
338;201.0200023651123;12600
339;98.6337661743164;12600
340;43.202877044677734;12600
341;73.69494438171387;12600
342;96.97508811950684;12600
343;101.32193565368652;12600
344;85.85095405578613;12600
345;25.549888610839844;12600
346;93.6119556427002;12600
347;82.86023139953613;12600
348;96.10128402709961;12600
349;28.02300453186035;12600
350;111.01293563842773;12600
351;63.768863677978516;12600
352;34.2559814453125;12600
353;91.65811538696289;12600
354;87.86678314208984;12600
355;103.2252311706543;12600
356;93.16515922546387;12600
357;110.7327938079834;12600
358;82.5202465057373;12600
359;94.23708915710449;12600
360;34.34181213378906;12600
361;98.82283210754395;12600
362;173.08592796325684;12600
363;102.36787796020508;12600
364;100.56900978088379;12600
365;97.6560115814209;12600
366;93.96982192993164;12600
367;96.95196151733398;12600
368;105.97515106201172;12600
369;96.74787521362305;12600
370;97.71990776062012;12600
371;105.8800220489502;12600
372;90.67916870117188;12600
373;103.9881706237793;12600
374;52.99687385559082;12600
375;70.83702087402344;12600
376;88.99474143981934;12600
377;108.64996910095215;12600
378;94.88320350646973;12600
379;91.4919376373291;12600
380;97.20492362976074;12600
381;99.06697273254395;12600
382;111.23871803283691;12600
383;93.72973442077637;12600
384;34.171104431152344;12600
385;103.31606864929199;12600
386;67.65103340148926;12600
387;83.82272720336914;12600
388;102.11515426635742;12600
389;26.259183883666992;12600
390;91.68481826782227;12600
391;94.59185600280762;12600
392;88.67788314819336;12600
393;108.60204696655273;12600
394;112.08128929138184;12600
395;73.80890846252441;12600
396;39.402008056640625;12600
397;105.44896125793457;12600
398;74.08308982849121;12600
399;85.79111099243164;12600
400;98.13809394836426;12600
401;28.19085121154785;12600
402;103.58405113220215;12600
403;91.90201759338379;12600
404;92.44227409362793;12600
405;92.13781356811523;12600
406;99.95317459106445;12600
407;99.88188743591309;12600
408;91.44902229309082;12600
409;104.97403144836426;12600
410;32.037973403930664;12600
411;87.39686012268066;12600
412;87.83292770385742;12600
413;97.26071357727051;12600
414;99.17306900024414;12600
415;87.8300666809082;12600
416;33.247947692871094;12600
417;187.19005584716797;12600
418;81.0401439666748;12600
419;29.599905014038086;12600
420;95.53909301757812;12600
421;103.72090339660645;12600
422;106.16707801818848;12600
423;92.77081489562988;12600
424;98.73700141906738;12600
425;107.03206062316895;12600
426;101.18699073791504;12600
427;82.97896385192871;12600
428;122.27821350097656;12600
429;69.72312927246094;12600
430;96.46320343017578;12600
431;91.70007705688477;12600
432;101.95279121398926;12600
433;100.9671688079834;12600
434;99.74098205566406;12600
435;100.3561019897461;12600
436;32.293081283569336;12600
437;94.20108795166016;12600
438;100.32987594604492;12600
439;131.61396980285645;12600
440;75.70505142211914;12600
441;113.69633674621582;12600
442;87.95905113220215;12600
443;94.60282325744629;12600
444;92.95511245727539;12600
445;91.86196327209473;12600
446;124.60494041442871;12600
447;70.07098197937012;12600
448;91.82429313659668;12600
449;31.59499168395996;12600
450;102.76675224304199;12600
451;77.42524147033691;12600
452;88.00196647644043;12600
453;35.94517707824707;12600
454;77.68893241882324;12600
455;93.5218334197998;12600
456;93.87493133544922;12600
457;30.517101287841797;12600
458;160.99977493286133;12600
459;100.72779655456543;12600
460;30.88092803955078;12600
461;74.20587539672852;12600
462;25.989770889282227;12600
463;121.04511260986328;12600
464;88.14096450805664;12600
465;164.86120223999023;12600
466;27.26912498474121;12600
467;93.48702430725098;12600
468;95.22676467895508;12600
469;97.36013412475586;12600
470;84.59067344665527;12600
471;27.271032333374023;12600
472;85.85190773010254;12600
473;92.8950309753418;12600
474;29.60205078125;12600
475;134.93776321411133;12600
476;127.04086303710938;12600
477;37.66608238220215;12600
478;92.2849178314209;12600
479;90.85893630981445;12600
480;91.51577949523926;12600
481;89.10894393920898;12600
482;24.04618263244629;12600
483;91.42780303955078;12600
484;98.79088401794434;12600
485;86.1668586730957;12600
486;26.81422233581543;12600
487;121.4599609375;12600
488;67.30794906616211;12600
489;101.66311264038086;12600
490;86.26198768615723;12600
491;96.80414199829102;12600
492;98.72794151306152;12600
493;39.97302055358887;12600
494;94.61712837219238;12600
495;87.26000785827637;12600
496;106.42361640930176;12600
497;88.42301368713379;12600
498;104.99095916748047;12600
499;78.77612113952637;12600
500;102.15520858764648;12600
501;105.18908500671387;12600
502;97.34201431274414;12600
503;95.57700157165527;12600
504;99.5781421661377;12600
505;98.19388389587402;12600
